0.1 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.854
0.5 | 0.9 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =2.161 | MinDCF =0.930
0.5 | 0.1 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =1.828 | MinDCF =0.846
0.5 | 0.5 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =0.386 | MinDCF =0.383
0.5 | 0.9 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =2.030 | MinDCF =0.937
0.5 | 0.1 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.881 | MinDCF =0.932
0.5 | 0.5 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =0.419 | MinDCF =0.408
0.5 | 0.9 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =2.312 | MinDCF =0.940
0.5 | 0.1 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =1.919 | MinDCF =0.843
0.5 | 0.5 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =0.386 | MinDCF =0.377
0.5 | 0.9 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =1.939 | MinDCF =0.874
0.5 | 0.1 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.994 | MinDCF =0.940
0.5 | 0.5 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =0.435 | MinDCF =0.431
0.5 | 0.9 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =2.353 | MinDCF =0.957
0.5 | 0.1 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =1.979 | MinDCF =0.820
0.5 | 0.5 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =0.387 | MinDCF =0.378
0.5 | 0.9 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =1.887 | MinDCF =0.874
0.5 | 0.1 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =2.092 | MinDCF =0.947
0.5 | 0.5 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =0.454 | MinDCF =0.449
0.5 | 0.9 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =2.451 | MinDCF =0.963
0.5 | 0.1 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =1.907 | MinDCF =0.859
0.5 | 0.5 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =0.393 | MinDCF =0.389
0.5 | 0.9 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =2.024 | MinDCF =0.913
0.5 | 0.1 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =2.129 | MinDCF =0.958
0.5 | 0.5 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =0.471 | MinDCF =0.461
0.5 | 0.9 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =2.586 | MinDCF =0.967
0.5 | 0.1 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =2.064 | MinDCF =0.827
0.5 | 0.5 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =0.414 | MinDCF =0.399
0.5 | 0.9 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =2.071 | MinDCF =0.905
0.5 | 0.1 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =2.144 | MinDCF =0.958
0.5 | 0.5 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =0.473 | MinDCF =0.467
0.5 | 0.9 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =2.587 | MinDCF =0.969
0.9 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =6.014 | MinDCF =0.854
0.9 | 0.5 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.683 | MinDCF =0.362
0.9 | 0.9 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.813 | MinDCF =0.803
0.9 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =3.631 | MinDCF =0.768
0.9 | 0.5 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.434 | MinDCF =0.309
0.9 | 0.9 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.708 | MinDCF =0.655
0.9 | 0.1 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =6.130 | MinDCF =0.862
0.9 | 0.5 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.707 | MinDCF =0.352
0.9 | 0.9 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.942 | MinDCF =0.869
0.9 | 0.1 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =3.631 | MinDCF =0.766
0.9 | 0.5 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.434 | MinDCF =0.308
0.9 | 0.9 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.708 | MinDCF =0.654
0.9 | 0.1 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =6.248 | MinDCF =0.864
0.9 | 0.5 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.715 | MinDCF =0.373
0.9 | 0.9 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.897 | MinDCF =0.834
0.9 | 0.1 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =3.639 | MinDCF =0.764
0.9 | 0.5 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.435 | MinDCF =0.308
0.9 | 0.9 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.709 | MinDCF =0.654
0.9 | 0.1 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =6.258 | MinDCF =0.846
0.9 | 0.5 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.711 | MinDCF =0.361
0.9 | 0.9 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.855 | MinDCF =0.771
0.9 | 0.1 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =3.644 | MinDCF =0.768
0.9 | 0.5 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.434 | MinDCF =0.305
0.9 | 0.9 | Quadratic Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.695 | MinDCF =0.656
0.9 | 0.1 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =6.092 | MinDCF =0.896
0.9 | 0.5 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.696 | MinDCF =0.357
0.9 | 0.9 | Quadratic Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.865 | MinDCF =0.813
0.9 | 0.1 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =3.694 | MinDCF =0.767
0.9 | 0.5 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.438 | MinDCF =0.303
0.9 | 0.9 | Quadratic Regression | Lambda =2.98e-04 | Normalized | PCA = 10 | ActDCF =0.686 | MinDCF =0.655
0.9 | 0.1 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =6.170 | MinDCF =0.851
0.9 | 0.5 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.709 | MinDCF =0.356
0.9 | 0.9 | Quadratic Regression | Lambda =6.95e-04 | Raw | PCA = 10 | ActDCF =0.918 | MinDCF =0.833
0.9 | 0.1 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =3.803 | MinDCF =0.754
0.9 | 0.5 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.449 | MinDCF =0.299
0.9 | 0.9 | Quadratic Regression | Lambda =6.95e-04 | Normalized | PCA = 10 | ActDCF =0.684 | MinDCF =0.642
0.9 | 0.1 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =6.104 | MinDCF =0.844
0.9 | 0.5 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.694 | MinDCF =0.366
0.9 | 0.9 | Quadratic Regression | Lambda =1.62e-03 | Raw | PCA = 10 | ActDCF =0.838 | MinDCF =0.789
0.9 | 0.1 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =3.899 | MinDCF =0.756
0.9 | 0.5 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.454 | MinDCF =0.292
0.9 | 0.9 | Quadratic Regression | Lambda =1.62e-03 | Normalized | PCA = 10 | ActDCF =0.636 | MinDCF =0.631
0.9 | 0.1 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =5.911 | MinDCF =0.824
0.9 | 0.5 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.671 | MinDCF =0.352
0.9 | 0.9 | Quadratic Regression | Lambda =3.79e-03 | Raw | PCA = 10 | ActDCF =0.802 | MinDCF =0.772
0.9 | 0.1 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =4.189 | MinDCF =0.746
0.9 | 0.5 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.483 | MinDCF =0.290
0.9 | 0.9 | Quadratic Regression | Lambda =3.79e-03 | Normalized | PCA = 10 | ActDCF =0.639 | MinDCF =0.616
0.9 | 0.1 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =6.353 | MinDCF =0.877
0.9 | 0.5 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.722 | MinDCF =0.378
0.9 | 0.9 | Quadratic Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.865 | MinDCF =0.840
0.9 | 0.1 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =4.716 | MinDCF =0.734
0.9 | 0.5 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.540 | MinDCF =0.291
0.9 | 0.9 | Quadratic Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.684 | MinDCF =0.608
0.9 | 0.1 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =6.224 | MinDCF =0.875
0.9 | 0.5 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.710 | MinDCF =0.353
0.9 | 0.9 | Quadratic Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.880 | MinDCF =0.827
0.9 | 0.1 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =5.429 | MinDCF =0.733
0.9 | 0.5 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.613 | MinDCF =0.296
0.9 | 0.9 | Quadratic Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.705 | MinDCF =0.666
0.9 | 0.1 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =5.979 | MinDCF =0.834
0.9 | 0.5 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.680 | MinDCF =0.360
0.9 | 0.9 | Quadratic Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.824 | MinDCF =0.765
0.9 | 0.1 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =6.668 | MinDCF =0.738
0.9 | 0.5 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.750 | MinDCF =0.312
0.9 | 0.9 | Quadratic Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.828 | MinDCF =0.713
0.9 | 0.1 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =6.233 | MinDCF =0.862
0.9 | 0.5 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.713 | MinDCF =0.353
0.9 | 0.9 | Quadratic Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.896 | MinDCF =0.834
0.9 | 0.1 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =7.976 | MinDCF =0.733
0.9 | 0.5 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.889 | MinDCF =0.324
0.9 | 0.9 | Quadratic Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.915 | MinDCF =0.760
0.9 | 0.1 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =6.179 | MinDCF =0.877
0.9 | 0.5 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.704 | MinDCF =0.361
0.9 | 0.9 | Quadratic Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.803
0.9 | 0.1 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =8.539 | MinDCF =0.785
0.9 | 0.5 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.950 | MinDCF =0.331
0.9 | 0.9 | Quadratic Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.963 | MinDCF =0.922
0.9 | 0.1 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =6.277 | MinDCF =0.884
0.9 | 0.5 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.718 | MinDCF =0.359
0.9 | 0.9 | Quadratic Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.900 | MinDCF =0.775
0.9 | 0.1 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =8.869 | MinDCF =0.889
0.9 | 0.5 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =0.987 | MinDCF =0.379
0.9 | 0.9 | Quadratic Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.939
0.9 | 0.1 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =6.220 | MinDCF =0.848
0.9 | 0.5 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.713 | MinDCF =0.372
0.9 | 0.9 | Quadratic Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.909 | MinDCF =0.856
0.9 | 0.1 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =8.978 | MinDCF =0.936
0.9 | 0.5 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =0.998 | MinDCF =0.414
0.9 | 0.9 | Quadratic Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =0.998 | MinDCF =0.954
0.9 | 0.1 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =6.342 | MinDCF =0.877
0.9 | 0.5 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =0.723 | MinDCF =0.347
0.9 | 0.9 | Quadratic Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =0.893 | MinDCF =0.848
0.9 | 0.1 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.940
0.9 | 0.5 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.431
0.9 | 0.9 | Quadratic Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.959
0.9 | 0.1 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =6.450 | MinDCF =0.863
0.9 | 0.5 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =0.734 | MinDCF =0.369
0.9 | 0.9 | Quadratic Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =0.891 | MinDCF =0.820
0.9 | 0.1 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.947
0.9 | 0.5 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.444
0.9 | 0.9 | Quadratic Regression | Lambda =7.85e+00 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.967
0.9 | 0.1 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =6.742 | MinDCF =0.852
0.9 | 0.5 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =0.765 | MinDCF =0.352
0.9 | 0.9 | Quadratic Regression | Lambda =1.83e+01 | Raw | PCA = 10 | ActDCF =0.909 | MinDCF =0.821
0.9 | 0.1 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.954
0.9 | 0.5 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.458
0.9 | 0.9 | Quadratic Regression | Lambda =1.83e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.970
0.9 | 0.1 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =7.276 | MinDCF =0.851
0.9 | 0.5 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =0.816 | MinDCF =0.373
0.9 | 0.9 | Quadratic Regression | Lambda =4.28e+01 | Raw | PCA = 10 | ActDCF =0.881 | MinDCF =0.867
0.9 | 0.1 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.954
0.9 | 0.5 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.464
0.9 | 0.9 | Quadratic Regression | Lambda =4.28e+01 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.973
0.9 | 0.1 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =7.848 | MinDCF =0.825
0.9 | 0.5 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =0.879 | MinDCF =0.389
0.9 | 0.9 | Quadratic Regression | Lambda =1.00e+02 | Raw | PCA = 10 | ActDCF =0.945 | MinDCF =0.894
0.9 | 0.1 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =9.000 | MinDCF =0.954
0.9 | 0.5 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.469
0.9 | 0.9 | Quadratic Regression | Lambda =1.00e+02 | Normalized | PCA = 10 | ActDCF =1.000 | MinDCF =0.973
