0.04435276985168457
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.059 | MinDCF =0.339
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.182
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.205 | MinDCF =0.181
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.855
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.995 | MinDCF =0.869
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.304
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.599 | MinDCF =0.301
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.161
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.163 | MinDCF =0.161
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.821
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.030 | MinDCF =0.842
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.369
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.041 | MinDCF =0.370
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.184
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.214 | MinDCF =0.184
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.837
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.046415888336127774 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.101 | MinDCF =0.841
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.367
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.101 | MinDCF =0.367
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.206
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.222 | MinDCF =0.204
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.837
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.118 | MinDCF =0.846
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.480 | MinDCF =0.306
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.594 | MinDCF =0.303
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.470 | MinDCF =0.160
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.163 | MinDCF =0.159
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.222 | MinDCF =0.827
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.040 | MinDCF =0.850
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.360
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.973 | MinDCF =0.360
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.166
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.203 | MinDCF =0.170
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.841
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.0774263682681127 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.061 | MinDCF =0.845
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.609
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =4.421 | MinDCF =0.692
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.523
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.870 | MinDCF =0.579
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.922
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =4.281 | MinDCF =0.956
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.308 | MinDCF =0.302
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.591 | MinDCF =0.301
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.237 | MinDCF =0.160
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.163 | MinDCF =0.160
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.059 | MinDCF =0.823
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.040 | MinDCF =0.839
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.356
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.930 | MinDCF =0.356
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.166
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.199 | MinDCF =0.167
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.844
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.1291549665014884 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.056 | MinDCF =0.842
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.366 | MinDCF =0.346
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.956 | MinDCF =0.346
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.229 | MinDCF =0.185
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.197 | MinDCF =0.186
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.925 | MinDCF =0.849
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.016 | MinDCF =0.876
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.467 | MinDCF =0.302
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.595 | MinDCF =0.302
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.160
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.164 | MinDCF =0.159
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.145 | MinDCF =0.828
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.040 | MinDCF =0.844
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.354
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.918 | MinDCF =0.354
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.165
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.199 | MinDCF =0.168
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.839
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.21544346900318834 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.076 | MinDCF =0.849
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.722 | MinDCF =0.351
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.962 | MinDCF =0.351
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.263 | MinDCF =0.191
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.204 | MinDCF =0.194
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.906 | MinDCF =0.847
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.081 | MinDCF =0.855
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.951 | MinDCF =0.302
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.592 | MinDCF =0.302
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.184 | MinDCF =0.160
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.163 | MinDCF =0.159
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.885 | MinDCF =0.828
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.040 | MinDCF =0.844
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.982 | MinDCF =0.356
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.915 | MinDCF =0.356
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.982 | MinDCF =0.168
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.201 | MinDCF =0.167
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =8.836 | MinDCF =0.836
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.3593813663804626 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.098 | MinDCF =0.848
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.222 | MinDCF =0.363
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.965 | MinDCF =0.364
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.412 | MinDCF =0.196
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.207 | MinDCF =0.197
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.899 | MinDCF =0.844
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.103 | MinDCF =0.861
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.563 | MinDCF =0.302
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.594 | MinDCF =0.302
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.243 | MinDCF =0.160
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.163 | MinDCF =0.159
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.867 | MinDCF =0.828
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.040 | MinDCF =0.844
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.725 | MinDCF =0.354
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.909 | MinDCF =0.355
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.717 | MinDCF =0.166
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.198 | MinDCF =0.166
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =6.447 | MinDCF =0.835
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 0.5994842503189409 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.075 | MinDCF =0.842
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.270 | MinDCF =0.371
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.955 | MinDCF =0.371
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.512 | MinDCF =0.196
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.209 | MinDCF =0.198
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.853 | MinDCF =0.840
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.135 | MinDCF =0.857
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.013 | MinDCF =0.302
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.597 | MinDCF =0.301
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.292 | MinDCF =0.160
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.164 | MinDCF =0.159
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.906 | MinDCF =0.827
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.041 | MinDCF =0.843
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.496 | MinDCF =0.353
0.1 | 0.1 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.906 | MinDCF =0.352
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.454 | MinDCF =0.168
0.1 | 0.5 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.200 | MinDCF =0.171
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.039 | MinDCF =0.831
0.1 | 0.9 | SVM RBF | K = 10.0 | C = 1.0 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.097 | MinDCF =0.838
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.628
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.816
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.352
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.668
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.992
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.991
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.665
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Calibrated | PCA = 8 | ActDCF =2.280 | MinDCF =0.666
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.385
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Calibrated | PCA = 8 | ActDCF =0.413 | MinDCF =0.384
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.984
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Normalized | Calibrated | PCA = 8 | ActDCF =1.845 | MinDCF =0.983
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.716
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Normalized | Calibrated | PCA = 8 | ActDCF =1.723 | MinDCF =0.717
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.313
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Normalized | Calibrated | PCA = 8 | ActDCF =0.366 | MinDCF =0.313
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.979
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Normalized | Calibrated | PCA = 8 | ActDCF =1.935 | MinDCF =0.976
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.723
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.864
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.406
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.699
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.995
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.997
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.693
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Normalized | Calibrated | PCA = 8 | ActDCF =2.836 | MinDCF =0.693
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.501
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Normalized | Calibrated | PCA = 8 | ActDCF =0.512 | MinDCF =0.506
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.988
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Normalized | Calibrated | PCA = 8 | ActDCF =2.286 | MinDCF =0.989
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.715
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Normalized | Calibrated | PCA = 8 | ActDCF =1.701 | MinDCF =0.716
